time,time,Main Price,Prev Close,Open,Bid,Ask,Volume
30-9-2018  5:29:6,30-9-2018  5:29:6,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:29:23,30-9-2018  5:29:23,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:29:38,30-9-2018  5:29:38,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:29:55,30-9-2018  5:29:55,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:30:11,30-9-2018  5:30:11,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:30:27,30-9-2018  5:30:27,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:30:44,30-9-2018  5:30:44,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:31:0,30-9-2018  5:31:0,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:31:16,30-9-2018  5:31:16,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:31:32,30-9-2018  5:31:32,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:31:48,30-9-2018  5:31:48,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:32:4,30-9-2018  5:32:4,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:32:21,30-9-2018  5:32:21,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:32:36,30-9-2018  5:32:36,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:32:52,30-9-2018  5:32:52,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:33:8,30-9-2018  5:33:8,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:33:24,30-9-2018  5:33:24,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:33:40,30-9-2018  5:33:40,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:33:56,30-9-2018  5:33:56,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:34:13,30-9-2018  5:34:13,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:34:29,30-9-2018  5:34:29,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:34:45,30-9-2018  5:34:45,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:35:1,30-9-2018  5:35:1,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:35:17,30-9-2018  5:35:17,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:35:33,30-9-2018  5:35:33,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:35:50,30-9-2018  5:35:50,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:36:5,30-9-2018  5:36:5,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:36:22,30-9-2018  5:36:22,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:36:38,30-9-2018  5:36:38,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:36:54,30-9-2018  5:36:54,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:37:10,30-9-2018  5:37:10,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:37:26,30-9-2018  5:37:26,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:37:42,30-9-2018  5:37:42,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:37:58,30-9-2018  5:37:58,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:38:14,30-9-2018  5:38:14,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:38:30,30-9-2018  5:38:30,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:38:46,30-9-2018  5:38:46,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
30-9-2018  5:39:2,30-9-2018  5:39:2,1193.47,1194.64,1191.87,1193.71 x 800,1194.90 x 900,1420526
