time,time,Main Price,Prev Close,Open,Bid,Ask,Volume
30-9-2018  5:29:3,30-9-2018  5:29:3,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:29:20,30-9-2018  5:29:20,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:29:36,30-9-2018  5:29:36,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:29:52,30-9-2018  5:29:52,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:30:8,30-9-2018  5:30:8,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:30:25,30-9-2018  5:30:25,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:30:41,30-9-2018  5:30:41,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:30:57,30-9-2018  5:30:57,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:31:13,30-9-2018  5:31:13,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:31:30,30-9-2018  5:31:30,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:31:46,30-9-2018  5:31:46,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:32:2,30-9-2018  5:32:2,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:32:18,30-9-2018  5:32:18,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:32:34,30-9-2018  5:32:34,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:32:50,30-9-2018  5:32:50,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:33:6,30-9-2018  5:33:6,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:33:22,30-9-2018  5:33:22,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:33:38,30-9-2018  5:33:38,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:33:54,30-9-2018  5:33:54,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:34:10,30-9-2018  5:34:10,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:34:26,30-9-2018  5:34:26,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:34:43,30-9-2018  5:34:43,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:34:59,30-9-2018  5:34:59,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:35:14,30-9-2018  5:35:14,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:35:31,30-9-2018  5:35:31,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:35:47,30-9-2018  5:35:47,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:36:3,30-9-2018  5:36:3,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:36:19,30-9-2018  5:36:19,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:36:35,30-9-2018  5:36:35,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
30-9-2018  5:36:51,30-9-2018  5:36:51,27.07,27.75,27.75,27.00 x 800,27.10 x 1000,16947573
