,time,Main Price,Prev Close,Open,Bid,Ask,Volume
1,28-9-2018  13:56:14,27.09,27.75,27.75,27.20 x 1100,27.23 x 800,17541618
2,28-9-2018  13:56:31,27.09,27.75,27.75,27.2200 x 1800,27.2300 x 800,17541618
3,28-9-2018  13:56:47,27.07,27.75,27.75,27.22 x 1800,27.23 x 800,17541618
4,28-9-2018  13:57:4,27.08,27.75,27.75,27.220 x 1800,27.230 x 800,17541618
5,28-9-2018  13:57:20,27.07,27.75,27.75,27.22 x 1800,27.23 x 800,17541618
6,28-9-2018  13:57:37,27.05,27.75,27.75,27.22 x 1800,27.23 x 800,17541618
7,28-9-2018  13:57:53,27.05,27.75,27.75,27.21 x 1800,27.22 x 800,17541618
8,28-9-2018  13:58:10,27.0677,27.75,27.75,27.2100 x 1800,27.2200 x 800,17541618
9,28-9-2018  13:58:26,27.05,27.75,27.75,27.21 x 1800,27.22 x 800,17541618
10,28-9-2018  13:58:42,27.0632,27.75,27.75,27.2100 x 1800,27.2200 x 800,17541618
11,28-9-2018  13:58:59,27.06,27.75,27.75,27.1900 x 1800,27.2000 x 900,17541618
12,28-9-2018  13:59:15,27.08,27.75,27.75,27.19 x 1800,27.20 x 900,17541618
13,28-9-2018  13:59:32,27.08,27.75,27.75,27.19 x 1800,27.20 x 900,17541618
14,28-9-2018  13:59:48,27.08,27.75,27.75,27.190 x 1800,27.200 x 2200,17541618
15,28-9-2018  14:0:5,27.0639,27.75,27.75,27.1900 x 1800,27.2000 x 2200,17541618
16,28-9-2018  14:0:21,27.05,27.75,27.75,27.19 x 1800,27.20 x 2200,17541618
17,28-9-2018  14:0:37,27.0715,27.75,27.75,27.1900 x 1800,27.2000 x 1200,17541618
18,28-9-2018  14:0:54,27.06,27.75,27.75,27.1800 x 3000,27.1900 x 900,17541618
19,28-9-2018  14:1:10,27.0704,27.75,27.75,27.1800 x 3000,27.1900 x 900,17541618
20,28-9-2018  14:1:26,27.04,27.75,27.75,27.18 x 3000,27.19 x 900,17541618
21,28-9-2018  14:1:42,27.04,27.75,27.75,27.1500 x 3000,27.1600 x 800,17541618
22,28-9-2018  14:1:59,27.0,27.75,27.75,27.1500 x 3000,27.1600 x 800,17541618
23,28-9-2018  14:2:15,27.02,27.75,27.75,27.15 x 3000,27.16 x 800,17541618
24,28-9-2018  14:2:32,27.04,27.75,27.75,27.15 x 3000,27.17 x 800,17541618
25,28-9-2018  14:2:48,27.025,27.75,27.75,27.150 x 3000,27.170 x 800,17541618
26,28-9-2018  14:3:5,27.02,27.75,27.75,27.15 x 3000,27.17 x 800,17541618
27,28-9-2018  14:3:21,27.01,27.75,27.75,27.1500 x 3000,27.1800 x 800,17541618
28,28-9-2018  14:3:37,27.01,27.75,27.75,27.15 x 3000,27.18 x 800,17541618
29,28-9-2018  14:3:54,27.03,27.75,27.75,27.1500 x 3000,27.1800 x 800,17541618
30,28-9-2018  14:4:10,27.0118,27.75,27.75,27.16 x 3000,27.17 x 800,17541618
31,28-9-2018  14:4:26,27.02,27.75,27.75,27.16 x 3000,27.17 x 800,17541618
32,28-9-2018  14:4:43,27.0199,27.75,27.75,27.1600 x 3000,27.1700 x 800,17541618
33,28-9-2018  14:4:59,27.02,27.75,27.75,27.16 x 3000,27.17 x 800,17541618
34,28-9-2018  14:5:16,27.019,27.75,27.75,27.160 x 3000,27.170 x 800,17541618
35,28-9-2018  14:5:33,27.02,27.75,27.75,27.16 x 3000,27.17 x 800,17541618
36,28-9-2018  14:5:49,27.02,27.75,27.75,27.16 x 3000,27.17 x 800,17541618
37,28-9-2018  14:6:6,27.02,27.75,27.75,27.16 x 3000,27.17 x 800,17541618
38,28-9-2018  14:6:22,27.01,27.75,27.75,27.21 x 3000,27.23 x 800,17541618
39,28-9-2018  14:6:38,27.01,27.75,27.75,27.21 x 3000,27.23 x 800,17541618
40,28-9-2018  14:6:54,27.02,27.75,27.75,27.21 x 3000,27.23 x 800,17541618
41,28-9-2018  14:7:19,27.02,27.75,27.75,27.21 x 3000,27.23 x 800,17541618
42,28-9-2018  14:7:35,27.02,27.75,27.75,27.200 x 3000,27.210 x 800,17541618
43,28-9-2018  14:7:52,27.0102,27.75,27.75,27.2000 x 3000,27.2100 x 800,17541618
44,28-9-2018  14:8:8,27.01,27.75,27.75,27.20 x 3000,27.21 x 800,17541618
45,28-9-2018  14:8:24,27.014,27.75,27.75,27.200 x 3000,27.210 x 800,17541618
46,28-9-2018  14:8:40,27.02,27.75,27.75,27.18 x 3000,27.19 x 800,17541618
47,28-9-2018  14:8:57,27.0285,27.75,27.75,27.1800 x 3000,27.1900 x 800,17541618
48,28-9-2018  14:9:13,27.07,27.75,27.75,27.18 x 3000,27.19 x 800,17541618
49,28-9-2018  14:9:29,27.0665,27.75,27.75,27.1800 x 3000,27.1900 x 800,17541618
50,28-9-2018  14:9:46,27.03,27.75,27.75,27.18 x 3000,27.19 x 800,17541618
51,28-9-2018  14:10:2,27.043,27.75,27.75,27.170 x 3000,27.140 x 800,17541618
52,28-9-2018  14:10:18,27.0581,27.75,27.75,27.1700 x 3000,27.1400 x 800,17541618
53,28-9-2018  14:10:35,27.08,27.75,27.75,27.13 x 3000,27.14 x 800,17541618
54,28-9-2018  14:10:51,27.07,27.75,27.75,27.13 x 3000,27.14 x 800,17541618
55,28-9-2018  14:11:8,27.06,27.75,27.75,27.09 x 800,27.13 x 800,17541618
56,28-9-2018  14:11:24,27.03,27.75,27.75,27.0900 x 800,27.1300 x 800,17541618
57,28-9-2018  14:11:40,27.03,27.75,27.75,27.09 x 800,27.10 x 800,17541618
58,28-9-2018  14:11:57,27.0271,27.75,27.75,27.0700 x 1400,27.1000 x 800,17541618
59,28-9-2018  14:12:13,27.01,27.75,27.75,27.07 x 1400,27.10 x 800,17541618
60,28-9-2018  14:12:29,27.01,27.75,27.75,27.07 x 1400,27.10 x 800,17541618
61,28-9-2018  14:12:45,27.02,27.75,27.75,27.07 x 1400,27.07 x 800,17541618
62,28-9-2018  14:13:1,27.0299,27.75,27.75,27.0700 x 1400,27.0700 x 800,17541618
63,28-9-2018  14:13:17,27.02,27.75,27.75,27.07 x 800,27.07 x 800,17541618
64,28-9-2018  14:13:33,27.02,27.75,27.75,27.07 x 900,27.07 x 800,17541618
65,28-9-2018  14:13:50,27.01,27.75,27.75,27.0700 x 900,27.0700 x 800,17541618
66,28-9-2018  14:14:6,27.0,27.75,27.75,27.07 x 900,27.07 x 3100,17541618
67,28-9-2018  14:14:22,27.0175,27.75,27.75,27.0700 x 900,27.0700 x 3100,17541618
68,28-9-2018  14:14:38,27.02,27.75,27.75,27.07 x 900,27.07 x 3100,17541618
69,28-9-2018  14:14:55,27.01,27.75,27.75,27.07 x 900,27.07 x 3100,17541618
70,28-9-2018  14:15:11,27.01,27.75,27.75,27.05 x 900,27.08 x 3100,17541618
71,28-9-2018  14:15:27,27.01,27.75,27.75,27.05 x 900,27.08 x 3100,17541618
72,28-9-2018  14:15:43,27.01,27.75,27.75,27.05 x 900,27.08 x 3100,17541618
73,28-9-2018  14:15:59,27.01,27.75,27.75,27.03 x 1400,27.08 x 3100,17541618
74,28-9-2018  14:16:16,27.01,27.75,27.75,27.03 x 1400,27.08 x 3100,17541618
