time,time,Main Price,Prev Close,Open,Bid,Ask,Volume
1-10-2018  9:59:30,1-10-2018  9:59:30,228.66,225.74,227.95,229.11 x 1000,229.05 x 1100,28141939
1-10-2018  9:59:46,1-10-2018  9:59:46,228.75,225.74,227.95,229.11 x 1000,229.05 x 1100,28141939
1-10-2018  10:0:2,1-10-2018  10:0:2,228.8,225.74,227.95,229.11 x 1000,229.14 x 1100,28141939
1-10-2018  10:0:18,1-10-2018  10:0:18,228.71,225.74,227.95,229.18 x 900,229.14 x 1100,28141939
1-10-2018  10:0:34,1-10-2018  10:0:34,228.85,225.74,227.95,229.18 x 900,229.14 x 1100,28141939
1-10-2018  10:0:50,1-10-2018  10:0:50,228.915,225.74,227.95,229.050 x 900,229.120 x 1100,28141939
1-10-2018  10:1:6,1-10-2018  10:1:6,228.9385,225.74,227.95,229.0500 x 900,229.1200 x 1100,28141939
1-10-2018  10:1:22,1-10-2018  10:1:22,229.08,225.74,227.95,229.05 x 900,229.12 x 1100,28141939
1-10-2018  10:1:38,1-10-2018  10:1:38,228.992,225.74,227.95,229.1600 x 900,229.1600 x 1100,28141939
1-10-2018  10:1:54,1-10-2018  10:1:54,228.97,225.74,227.95,229.16 x 900,229.16 x 1100,28141939
1-10-2018  10:2:10,1-10-2018  10:2:10,228.95,225.74,227.95,229.16 x 900,229.16 x 2200,28141939
1-10-2018  10:2:26,1-10-2018  10:2:26,228.93,225.74,227.95,229.070 x 900,229.090 x 800,28141939
1-10-2018  10:2:43,1-10-2018  10:2:43,228.97,225.74,227.95,229.07 x 900,229.09 x 800,28141939
1-10-2018  10:2:59,1-10-2018  10:2:59,229.11,225.74,227.95,229.07 x 900,229.09 x 800,28141939
1-10-2018  10:3:15,1-10-2018  10:3:15,229.0304,225.74,227.95,229.1400 x 900,229.1300 x 800,28141939
1-10-2018  10:3:31,1-10-2018  10:3:31,229.03,225.74,227.95,229.14 x 900,229.13 x 800,28141939
1-10-2018  10:3:47,1-10-2018  10:3:47,228.99,225.74,227.95,229.14 x 900,229.23 x 800,28141939
1-10-2018  10:4:3,1-10-2018  10:4:3,228.9657,225.74,227.95,229.1900 x 900,229.2300 x 800,28141939
1-10-2018  10:4:19,1-10-2018  10:4:19,229.14,225.74,227.95,229.19 x 900,229.23 x 800,28141939
1-10-2018  10:4:35,1-10-2018  10:4:35,229.24,225.74,227.95,229.19 x 900,229.24 x 800,28141939
1-10-2018  10:4:51,1-10-2018  10:4:51,229.2267,225.74,227.95,229.1100 x 900,229.2400 x 800,28141939
1-10-2018  10:5:7,1-10-2018  10:5:7,229.2001,225.74,227.95,229.11 x 900,229.24 x 800,28141939
1-10-2018  10:5:23,1-10-2018  10:5:23,229.21,225.74,227.95,229.11 x 900,229.29 x 800,28141939
1-10-2018  10:5:39,1-10-2018  10:5:39,229.24,225.74,227.95,229.32 x 900,229.29 x 800,28141939
1-10-2018  10:5:56,1-10-2018  10:5:56,229.32,225.74,227.95,229.32 x 900,229.29 x 800,28141939
1-10-2018  10:6:12,1-10-2018  10:6:12,229.38,225.74,227.95,229.32 x 900,229.17 x 800,28141939
1-10-2018  10:6:28,1-10-2018  10:6:28,229.2766,225.74,227.95,229.2300 x 900,229.1700 x 800,28141939
1-10-2018  10:6:44,1-10-2018  10:6:44,229.28,225.74,227.95,229.23 x 900,229.17 x 800,28141939
1-10-2018  10:7:0,1-10-2018  10:7:0,229.13,225.74,227.95,229.23 x 900,229.09 x 800,28141939
1-10-2018  10:7:16,1-10-2018  10:7:16,229.17,225.74,227.95,229.08 x 900,229.09 x 800,28141939
1-10-2018  10:7:32,1-10-2018  10:7:32,229.0101,225.74,227.95,229.08 x 900,229.09 x 800,28141939
1-10-2018  10:7:48,1-10-2018  10:7:48,229.12,225.74,227.95,228.97 x 900,228.99 x 800,28141939
1-10-2018  10:8:4,1-10-2018  10:8:4,229.14,225.74,227.95,228.97 x 900,228.99 x 800,28141939
1-10-2018  10:8:20,1-10-2018  10:8:20,229.1097,225.74,227.95,228.9700 x 900,228.8900 x 800,28141939
1-10-2018  10:8:37,1-10-2018  10:8:37,229.16,225.74,227.95,228.83 x 900,228.89 x 800,28141939
1-10-2018  10:8:52,1-10-2018  10:8:52,229.0501,225.74,227.95,228.8300 x 900,228.8900 x 800,28141939
1-10-2018  10:9:9,1-10-2018  10:9:9,229.08,225.74,227.95,228.8300 x 900,228.8900 x 800,28141939
1-10-2018  10:9:24,1-10-2018  10:9:24,229.1101,225.74,227.95,228.8400 x 900,228.8200 x 800,28141939
1-10-2018  10:9:41,1-10-2018  10:9:41,229.08,225.74,227.95,228.84 x 900,228.82 x 800,28141939
1-10-2018  10:9:56,1-10-2018  10:9:56,229.0,225.74,227.95,228.840 x 900,228.820 x 800,28141939
1-10-2018  10:10:12,1-10-2018  10:10:12,229.03,225.74,227.95,228.9000 x 900,228.8700 x 800,28141939
1-10-2018  10:10:28,1-10-2018  10:10:28,229.0,225.74,227.95,228.90 x 900,228.87 x 800,28141939
1-10-2018  10:10:44,1-10-2018  10:10:44,228.98,225.74,227.95,228.90 x 900,228.88 x 800,28141939
1-10-2018  10:11:0,1-10-2018  10:11:0,228.97,225.74,227.95,228.83 x 900,228.88 x 800,28141939
1-10-2018  10:11:16,1-10-2018  10:11:16,228.99,225.74,227.95,228.83 x 900,228.88 x 800,28141939
1-10-2018  10:11:32,1-10-2018  10:11:32,228.97,225.74,227.95,228.83 x 900,228.94 x 800,28141939
1-10-2018  10:11:48,1-10-2018  10:11:48,229.03,225.74,227.95,228.800 x 900,228.940 x 800,28141939
1-10-2018  10:12:4,1-10-2018  10:12:4,229.0,225.74,227.95,228.80 x 900,228.94 x 800,28141939
1-10-2018  10:12:20,1-10-2018  10:12:20,229.07,225.74,227.95,228.80 x 900,228.81 x 800,28141939
1-10-2018  10:12:36,1-10-2018  10:12:36,229.08,225.74,227.95,228.8400 x 900,228.8100 x 800,28141939
1-10-2018  10:12:52,1-10-2018  10:12:52,229.1217,225.74,227.95,228.8400 x 900,228.8100 x 800,28141939
1-10-2018  10:13:8,1-10-2018  10:13:8,229.13,225.74,227.95,228.84 x 900,228.79 x 800,28141939
1-10-2018  10:13:24,1-10-2018  10:13:24,229.14,225.74,227.95,228.67 x 900,228.79 x 800,28141939
1-10-2018  10:13:40,1-10-2018  10:13:40,229.09,225.74,227.95,228.67 x 900,228.79 x 800,28141939
1-10-2018  10:13:56,1-10-2018  10:13:56,228.78,225.74,227.95,228.67 x 900,228.69 x 800,28141939
1-10-2018  10:14:12,1-10-2018  10:14:12,228.82,225.74,227.95,228.72 x 900,228.69 x 800,28141939
1-10-2018  10:14:28,1-10-2018  10:14:28,228.75,225.74,227.95,228.72 x 900,228.69 x 800,28141939
1-10-2018  10:14:44,1-10-2018  10:14:44,228.76,225.74,227.95,228.72 x 900,228.72 x 800,28141939
1-10-2018  10:15:0,1-10-2018  10:15:0,228.805,225.74,227.95,228.710 x 900,228.720 x 800,28141939
1-10-2018  10:15:16,1-10-2018  10:15:16,228.72,225.74,227.95,228.71 x 900,228.72 x 800,28141939
1-10-2018  10:15:33,1-10-2018  10:15:33,228.75,225.74,227.95,228.850 x 900,228.740 x 800,28141939
1-10-2018  10:15:49,1-10-2018  10:15:49,228.7394,225.74,227.95,228.8500 x 900,228.7400 x 800,28141939
1-10-2018  10:16:5,1-10-2018  10:16:5,228.83,225.74,227.95,228.85 x 900,228.96 x 800,28141939
1-10-2018  10:16:21,1-10-2018  10:16:21,228.89,225.74,227.95,229.03 x 900,228.96 x 800,28141939
1-10-2018  10:16:37,1-10-2018  10:16:37,228.92,225.74,227.95,229.03 x 900,228.96 x 800,28141939
1-10-2018  10:16:53,1-10-2018  10:16:53,228.845,225.74,227.95,229.0300 x 900,229.0000 x 800,28141939
1-10-2018  10:17:9,1-10-2018  10:17:9,228.74,225.74,227.95,228.98 x 900,229.00 x 800,28141939
1-10-2018  10:17:25,1-10-2018  10:17:25,228.8,225.74,227.95,228.98 x 900,229.00 x 800,28141939
1-10-2018  10:17:41,1-10-2018  10:17:41,228.6,225.74,227.95,228.98 x 900,228.96 x 800,28141939
1-10-2018  10:17:58,1-10-2018  10:17:58,228.57,225.74,227.95,229.00 x 900,228.96 x 800,28141939
1-10-2018  10:18:14,1-10-2018  10:18:14,228.6,225.74,227.95,229.00 x 900,228.96 x 800,28141939
1-10-2018  10:18:30,1-10-2018  10:18:30,228.54,225.74,227.95,229.00 x 900,229.03 x 800,28141939
1-10-2018  10:18:46,1-10-2018  10:18:46,228.56,225.74,227.95,229.02 x 900,229.03 x 800,28141939
1-10-2018  10:19:2,1-10-2018  10:19:2,228.53,225.74,227.95,229.02 x 900,229.03 x 800,28141939
1-10-2018  10:19:18,1-10-2018  10:19:18,228.54,225.74,227.95,229.02 x 900,229.01 x 800,28141939
1-10-2018  10:19:34,1-10-2018  10:19:34,228.59,225.74,227.95,229.14 x 900,229.01 x 800,28141939
1-10-2018  10:19:50,1-10-2018  10:19:50,228.59,225.74,227.95,229.14 x 900,229.01 x 800,28141939
1-10-2018  10:20:6,1-10-2018  10:20:6,228.7231,225.74,227.95,229.1400 x 900,229.2300 x 800,28141939
1-10-2018  10:20:22,1-10-2018  10:20:22,228.65,225.74,227.95,229.21 x 900,229.23 x 800,28141939
1-10-2018  10:20:38,1-10-2018  10:20:38,228.7,225.74,227.95,229.21 x 900,229.23 x 800,28141939
1-10-2018  10:20:54,1-10-2018  10:20:54,228.75,225.74,227.95,229.33 x 900,229.24 x 800,28141939
1-10-2018  10:21:10,1-10-2018  10:21:10,228.77,225.74,227.95,229.33 x 900,229.24 x 800,28141939
