time,time,Main Price,Prev Close,Open,Bid,Ask,Volume
1-10-2018  10:12:37,1-10-2018  10:12:37,1207.845,1193.47,1199.89,1207.430 x 800,1208.030 x 900,1420526
1-10-2018  10:12:53,1-10-2018  10:12:53,1208.0,1193.47,1199.89,1206.43 x 800,1207.39 x 900,1420526
1-10-2018  10:13:9,1-10-2018  10:13:9,1208.1945,1193.47,1199.89,1206.4301 x 800,1207.3900 x 900,1420526
1-10-2018  10:13:25,1-10-2018  10:13:25,1208.1945,1193.47,1199.89,1206.80 x 800,1207.37 x 900,1420526
1-10-2018  10:13:41,1-10-2018  10:13:41,1208.23,1193.47,1199.89,1206.80 x 800,1207.37 x 900,1420526
1-10-2018  10:13:57,1-10-2018  10:13:57,1207.92,1193.47,1199.89,1206.80 x 800,1207.37 x 900,1420526
1-10-2018  10:14:13,1-10-2018  10:14:13,1208.38,1193.47,1199.89,1206.44 x 800,1207.05 x 900,1420526
1-10-2018  10:14:29,1-10-2018  10:14:29,1208.244,1193.47,1199.89,1206.440 x 800,1207.050 x 900,1420526
1-10-2018  10:14:45,1-10-2018  10:14:45,1208.244,1193.47,1199.89,1206.440 x 800,1207.050 x 900,1420526
1-10-2018  10:15:1,1-10-2018  10:15:1,1208.244,1193.47,1199.89,1206.440 x 800,1207.050 x 900,1420526
1-10-2018  10:15:18,1-10-2018  10:15:18,1206.84,1193.47,1199.89,1204.60 x 800,1205.19 x 900,1420526
1-10-2018  10:15:34,1-10-2018  10:15:34,1207.52,1193.47,1199.89,1205.27 x 800,1205.94 x 900,1420526
1-10-2018  10:15:50,1-10-2018  10:15:50,1207.52,1193.47,1199.89,1205.27 x 800,1205.94 x 900,1420526
1-10-2018  10:16:6,1-10-2018  10:16:6,1207.52,1193.47,1199.89,1205.27 x 800,1205.94 x 900,1420526
1-10-2018  10:16:22,1-10-2018  10:16:22,1207.82,1193.47,1199.89,1206.42 x 800,1206.96 x 900,1420526
1-10-2018  10:16:38,1-10-2018  10:16:38,1207.82,1193.47,1199.89,1206.42 x 800,1206.96 x 900,1420526
1-10-2018  10:16:54,1-10-2018  10:16:54,1207.82,1193.47,1199.89,1206.42 x 800,1206.96 x 900,1420526
1-10-2018  10:17:10,1-10-2018  10:17:10,1207.33,1193.47,1199.89,1206.42 x 800,1206.96 x 900,1420526
1-10-2018  10:17:26,1-10-2018  10:17:26,1207.83,1193.47,1199.89,1205.51 x 800,1206.33 x 900,1420526
1-10-2018  10:17:43,1-10-2018  10:17:43,1207.96,1193.47,1199.89,1205.51 x 800,1206.33 x 900,1420526
1-10-2018  10:17:59,1-10-2018  10:17:59,1207.96,1193.47,1199.89,1204.8800 x 800,1205.7100 x 900,1420526
1-10-2018  10:18:15,1-10-2018  10:18:15,1208.1,1193.47,1199.89,1204.88 x 800,1205.71 x 900,1420526
1-10-2018  10:18:31,1-10-2018  10:18:31,1208.1,1193.47,1199.89,1204.88 x 800,1205.71 x 900,1420526
1-10-2018  10:18:47,1-10-2018  10:18:47,1207.9875,1193.47,1199.89,1205.5000 x 800,1206.2900 x 900,1420526
1-10-2018  10:19:3,1-10-2018  10:19:3,1207.99,1193.47,1199.89,1205.50 x 800,1206.29 x 900,1420526
1-10-2018  10:19:19,1-10-2018  10:19:19,1207.99,1193.47,1199.89,1205.50 x 800,1206.29 x 900,1420526
