time,time,Main Price,Prev Close,Open,Bid,Ask,Volume
1-10-2018  9:59:28,1-10-2018  9:59:28,26.86,27.07,27.0,27.16 x 800,27.20 x 800,16947573
1-10-2018  9:59:45,1-10-2018  9:59:45,26.85,27.07,27.0,27.15 x 800,27.17 x 800,16947573
1-10-2018  10:0:1,1-10-2018  10:0:1,26.815,27.07,27.0,27.150 x 800,27.170 x 800,16947573
1-10-2018  10:0:17,1-10-2018  10:0:17,26.78,27.07,27.0,27.15 x 800,27.17 x 800,16947573
1-10-2018  10:0:33,1-10-2018  10:0:33,26.82,27.07,27.0,27.19 x 900,27.20 x 800,16947573
1-10-2018  10:0:49,1-10-2018  10:0:49,26.85,27.07,27.0,27.190 x 900,27.200 x 800,16947573
1-10-2018  10:1:5,1-10-2018  10:1:5,26.85,27.07,27.0,27.19 x 900,27.20 x 800,16947573
1-10-2018  10:1:21,1-10-2018  10:1:21,26.865,27.07,27.0,27.190 x 900,27.200 x 800,16947573
1-10-2018  10:1:37,1-10-2018  10:1:37,26.92,27.07,27.0,27.1900 x 1400,27.2000 x 800,16947573
1-10-2018  10:1:53,1-10-2018  10:1:53,26.94,27.07,27.0,27.26 x 1400,27.29 x 800,16947573
1-10-2018  10:2:9,1-10-2018  10:2:9,26.96,27.07,27.0,27.26 x 1400,27.29 x 800,16947573
1-10-2018  10:2:25,1-10-2018  10:2:25,26.96,27.07,27.0,27.26 x 1400,27.29 x 800,16947573
1-10-2018  10:2:41,1-10-2018  10:2:41,26.9899,27.07,27.0,27.1700 x 1100,27.1900 x 800,16947573
1-10-2018  10:2:57,1-10-2018  10:2:57,27.02,27.07,27.0,27.17 x 1100,27.19 x 800,16947573
1-10-2018  10:3:13,1-10-2018  10:3:13,27.0,27.07,27.0,27.02 x 1100,27.04 x 800,16947573
1-10-2018  10:3:29,1-10-2018  10:3:29,27.02,27.07,27.0,27.02 x 1100,27.04 x 800,16947573
1-10-2018  10:3:46,1-10-2018  10:3:46,27.05,27.07,27.0,27.02 x 1100,27.04 x 800,16947573
1-10-2018  10:4:2,1-10-2018  10:4:2,27.03,27.07,27.0,27.03 x 1100,27.03 x 800,16947573
1-10-2018  10:4:18,1-10-2018  10:4:18,27.024,27.07,27.0,27.030 x 1100,27.030 x 800,16947573
1-10-2018  10:4:34,1-10-2018  10:4:34,27.045,27.07,27.0,27.030 x 1100,27.030 x 800,16947573
1-10-2018  10:4:50,1-10-2018  10:4:50,27.04,27.07,27.0,26.97 x 1100,26.98 x 800,16947573
1-10-2018  10:5:6,1-10-2018  10:5:6,27.035,27.07,27.0,26.970 x 1100,26.980 x 800,16947573
1-10-2018  10:5:22,1-10-2018  10:5:22,27.0,27.07,27.0,26.97 x 1100,26.98 x 800,16947573
1-10-2018  10:5:38,1-10-2018  10:5:38,27.01,27.07,27.0,26.910 x 1100,26.920 x 800,16947573
1-10-2018  10:5:54,1-10-2018  10:5:54,27.01,27.07,27.0,26.91 x 1100,26.92 x 800,16947573
1-10-2018  10:6:10,1-10-2018  10:6:10,27.0,27.07,27.0,26.91 x 1100,26.92 x 800,16947573
1-10-2018  10:6:27,1-10-2018  10:6:27,27.01,27.07,27.0,26.90 x 1100,26.93 x 1400,16947573
1-10-2018  10:6:42,1-10-2018  10:6:42,27.0,27.07,27.0,26.90 x 1100,26.93 x 1400,16947573
1-10-2018  10:6:58,1-10-2018  10:6:58,26.98,27.07,27.0,26.90 x 1100,26.93 x 1400,16947573
1-10-2018  10:7:15,1-10-2018  10:7:15,26.98,27.07,27.0,26.82 x 1100,26.88 x 1400,16947573
1-10-2018  10:7:31,1-10-2018  10:7:31,26.98,27.07,27.0,26.82 x 1100,26.88 x 1400,16947573
1-10-2018  10:7:47,1-10-2018  10:7:47,26.98,27.07,27.0,26.820 x 1100,26.880 x 1400,16947573
