time,Prev Close,Open,Bid,Ask,Volume
17:9:2018  12:52:9,223.84,222.15,220.15 x 900,220.16 x 900,17448299
17:9:2018  12:52:25,223.84,222.15,220.15 x 900,220.16 x 900,17454636
17:9:2018  12:52:40,223.84,222.15,220.21 x 900,220.22 x 900,17460165
17:9:2018  12:52:56,223.84,222.15,220.21 x 900,220.22 x 900,17464118
17:9:2018  12:53:12,223.84,222.15,220.21 x 900,220.22 x 900,17468794
17:9:2018  12:53:28,223.84,222.15,220.19 x 900,220.20 x 900,17474121
17:9:2018  12:53:43,223.84,222.15,220.1900 x 900,220.2000 x 900,17476831
17:9:2018  12:53:58,223.84,222.15,220.190 x 900,220.200 x 900,17482628
17:9:2018  12:54:14,223.84,222.15,220.10 x 900,220.10 x 900,17517668
17:9:2018  12:54:30,223.84,222.15,220.10 x 900,220.10 x 900,17533250
17:9:2018  12:54:46,223.84,222.15,220.10 x 900,220.10 x 900,17538273
17:9:2018  12:55:1,223.84,222.15,220.12 x 900,220.10 x 900,17565259
17:9:2018  12:55:17,223.84,222.15,220.12 x 900,220.10 x 900,17570689
17:9:2018  12:55:33,223.84,222.15,220.12 x 900,220.10 x 900,17578532
17:9:2018  12:55:48,223.84,222.15,219.99 x 900,220.02 x 900,17594868
17:9:2018  12:56:4,223.84,222.15,219.99 x 900,220.02 x 900,17618143
17:9:2018  12:56:19,223.84,222.15,219.99 x 900,220.02 x 900,17636189
17:9:2018  12:56:35,223.84,222.15,220.080 x 900,220.020 x 900,17647968
17:9:2018  12:56:51,223.84,222.15,220.08 x 900,220.10 x 900,17655652
17:9:2018  12:57:6,223.84,222.15,220.08 x 900,220.10 x 900,17670172
17:9:2018  12:57:22,223.84,222.15,220.16 x 900,220.10 x 900,17692950
17:9:2018  12:57:37,223.84,222.15,220.16 x 900,220.17 x 900,17700436
17:9:2018  12:57:52,223.84,222.15,220.16 x 900,220.17 x 900,17713039
17:9:2018  12:58:7,223.84,222.15,220.19 x 900,220.17 x 900,17719816
17:9:2018  12:58:23,223.84,222.15,220.19 x 900,220.21 x 900,17730149
17:9:2018  12:58:38,223.84,222.15,220.19 x 900,220.21 x 900,17740760
17:9:2018  12:58:53,223.84,222.15,220.19 x 900,220.21 x 900,17753699
17:9:2018  12:59:8,223.84,222.15,220.15 x 900,220.21 x 900,17768548
17:9:2018  12:59:24,223.84,222.15,220.15 x 900,220.18 x 900,17777208
