time,Prev Close,Open,Bid,Ask,Volume
17:9:2018  12:45:52,1172.53,1170.14,"1,162.5300 x 900","1,163.0100 x 1800",542506
17:9:2018  12:46:6,1172.53,1170.14,"1,162.5300 x 900","1,163.0100 x 1800",542506
17:9:2018  12:46:20,1172.53,1170.14,"1,162.69 x 900","1,163.20 x 1800",542506
17:9:2018  12:46:34,1172.53,1170.14,"1,162.69 x 900","1,163.20 x 1800",542506
17:9:2018  12:46:48,1172.53,1170.14,"1,162.69 x 900","1,163.20 x 1800",542506
17:9:2018  12:47:2,1172.53,1170.14,"1,162.690 x 900","1,163.270 x 1800",543342
17:9:2018  12:47:16,1172.53,1170.14,"1,162.690 x 900","1,163.270 x 1800",543342
17:9:2018  12:47:31,1172.53,1170.14,"1,162.69 x 900","1,162.99 x 1800",543342
17:9:2018  12:47:45,1172.53,1170.14,"1,162.69 x 900","1,162.99 x 1800",544089
17:9:2018  12:47:58,1172.53,1170.14,"1,162.69 x 900","1,162.99 x 1800",544851
17:9:2018  12:48:12,1172.53,1170.14,"1,162.67 x 900","1,162.99 x 1800",544851
17:9:2018  12:48:27,1172.53,1170.14,"1,162.67 x 900","1,162.99 x 1800",544851
17:9:2018  12:48:40,1172.53,1170.14,"1,162.67 x 900","1,162.99 x 1800",544851
17:9:2018  12:48:55,1172.53,1170.14,"1,162.67 x 900","1,162.99 x 1800",544851
17:9:2018  12:49:9,1172.53,1170.14,"1,162.67 x 900","1,162.99 x 1800",544851
17:9:2018  12:49:23,1172.53,1170.14,"1,162.71 x 900","1,163.36 x 800",544851
17:9:2018  12:49:37,1172.53,1170.14,"1,162.71 x 900","1,163.36 x 800",544851
17:9:2018  12:49:51,1172.53,1170.14,"1,162.71 x 900","1,163.36 x 800",544851
17:9:2018  12:50:5,1172.53,1170.14,"1,162.10 x 900","1,162.51 x 800",544851
17:9:2018  12:50:19,1172.53,1170.14,"1,162.10 x 900","1,162.51 x 800",546776
17:9:2018  12:50:33,1172.53,1170.14,"1,162.10 x 900","1,162.51 x 800",546776
17:9:2018  12:50:47,1172.53,1170.14,"1,162.10 x 900","1,162.51 x 800",546776
17:9:2018  12:51:0,1172.53,1170.14,"1,162.10 x 900","1,162.51 x 800",546776
17:9:2018  12:51:15,1172.53,1170.14,"1,161.95 x 900","1,162.44 x 800",548712
17:9:2018  12:51:31,1172.53,1170.14,"1,161.95 x 900","1,162.44 x 800",548712
17:9:2018  12:51:46,1172.53,1170.14,"1,161.95 x 900","1,162.44 x 800",549043
17:9:2018  12:52:2,1172.53,1170.14,"1,162.0400 x 900","1,162.6200 x 800",550615
17:9:2018  12:52:18,1172.53,1170.14,"1,162.04 x 900","1,162.62 x 800",551758
17:9:2018  12:52:34,1172.53,1170.14,"1,162.04 x 900","1,162.62 x 800",552538
17:9:2018  12:52:50,1172.53,1170.14,"1,162.04 x 900","1,162.62 x 800",552538
17:9:2018  12:53:5,1172.53,1170.14,"1,162.0699 x 900","1,162.4301 x 800",552538
17:9:2018  12:53:21,1172.53,1170.14,"1,162.08 x 900","1,162.79 x 800",552880
17:9:2018  12:53:37,1172.53,1170.14,"1,162.08 x 900","1,162.79 x 800",552880
17:9:2018  12:53:52,1172.53,1170.14,"1,162.08 x 900","1,162.79 x 800",552880
