     date     time,Prev Close,Open,Bid,Ask,Volume
17:9:2018  12:45:56,295.20,290.04,298.85 x 1200,299.27 x 2200,"4,253,653"
17:9:2018  12:46:10,295.2000,290.0400,298.8500 x 1200,299.2700 x 2200,"4,255,057"
17:9:2018  12:46:23,295.20,290.04,298.58 x 1200,298.87 x 2200,"4,257,875"
17:9:2018  12:46:37,295.20,290.04,298.58 x 1200,298.87 x 2200,"4,257,875"
17:9:2018  12:46:51,295.2000,290.0400,298.5800 x 1200,298.8700 x 2200,"4,259,189"
17:9:2018  12:47:6,295.200,290.040,298.580 x 1200,298.960 x 2200,"4,261,170"
17:9:2018  12:47:20,295.2000,290.0400,298.2900 x 1200,298.9600 x 2200,"4,263,689"
17:9:2018  12:47:34,295.20,290.04,298.29 x 1200,298.96 x 2200,"4,268,166"
17:9:2018  12:47:48,295.2000,290.0400,298.2900 x 1200,298.4000 x 2200,"4,269,712"
17:9:2018  12:48:2,295.2000,290.0400,298.2900 x 1200,298.4000 x 2200,"4,274,960"
17:9:2018  12:48:16,295.20,290.04,298.31 x 1200,298.40 x 2200,"4,279,990"
17:9:2018  12:48:30,295.20,290.04,298.31 x 1200,298.13 x 2200,"4,281,567"
17:9:2018  12:48:44,295.200,290.040,297.750 x 1200,298.130 x 2200,"4,286,524"
17:9:2018  12:48:58,295.20,290.04,297.7500 x 1200,298.1300 x 2200,"4,286,960"
17:9:2018  12:49:12,295.20,290.04,297.75 x 1200,298.13 x 2200,"4,286,960"
17:9:2018  12:49:26,295.2000,290.0400,297.7500 x 1200,298.1300 x 2200,"4,288,277"
17:9:2018  12:49:40,295.20,290.04,297.75 x 1200,298.15 x 2200,"4,290,791"
17:9:2018  12:49:54,295.2000,290.0400,297.7500 x 1200,298.1500 x 2200,"4,290,791"
17:9:2018  12:50:8,295.20,290.04,297.90 x 1200,298.15 x 2200,"4,294,206"
17:9:2018  12:50:22,295.20,290.04,297.90 x 1200,297.75 x 2200,"4,297,501"
17:9:2018  12:50:36,295.2000,290.0400,297.9000 x 1200,297.7500 x 2200,"4,301,888"
17:9:2018  12:50:50,295.20,290.04,298.04 x 1200,297.75 x 2200,"4,303,491"
17:9:2018  12:51:4,295.2000,290.0400,298.0400 x 1200,297.7500 x 2200,"4,305,345"
17:9:2018  12:51:19,295.20,290.04,298.04 x 1200,297.75 x 2200,"4,309,241"
17:9:2018  12:51:34,295.20,290.04,297.74 x 1200,297.91 x 2200,"4,313,398"
17:9:2018  12:51:50,295.20,290.04,297.74 x 1200,297.91 x 2200,"4,315,058"
17:9:2018  12:52:7,295.20,290.04,297.74 x 1200,297.91 x 2200,"4,318,419"
17:9:2018  12:52:22,295.20,290.04,297.5100 x 1200,297.8600 x 2200,"4,318,419"
17:9:2018  12:52:38,295.2000,290.0400,297.5100 x 1200,297.8000 x 2200,"4,319,486"
17:9:2018  12:52:53,295.20,290.04,297.51 x 1200,297.80 x 2200,"4,320,439"
17:9:2018  12:53:9,295.20,290.04,297.20 x 1200,297.80 x 2200,"4,320,956"
17:9:2018  12:53:25,295.20,290.04,297.20 x 1200,297.80 x 2200,"4,325,639"
17:9:2018  12:53:41,295.20,290.04,297.20 x 1200,297.76 x 2200,"4,331,605"
17:9:2018  12:53:56,295.20,290.04,297.52 x 1200,297.76 x 2200,"4,333,150"
17:9:2018  12:54:12,295.200,290.040,297.520 x 1200,297.760 x 2200,"4,335,025"
17:9:2018  12:54:27,295.20,290.04,297.52 x 1200,297.76 x 2200,"4,340,096"
17:9:2018  12:54:43,295.200,290.040,297.220 x 1200,297.510 x 2200,"4,341,597"
17:9:2018  12:54:59,295.20,290.04,297.22 x 1200,297.51 x 2200,"4,343,021"
17:9:2018  12:55:14,295.2000,290.0400,297.2200 x 1200,297.6800 x 2200,"4,346,914"
17:9:2018  12:55:30,295.20,290.04,297.60 x 1200,297.68 x 2200,"4,346,914"
17:9:2018  12:55:45,295.2000,290.0400,297.6000 x 1200,297.6800 x 2200,"4,346,914"
17:9:2018  12:56:1,295.20,290.04,297.60 x 1200,297.69 x 2200,"4,353,959"
17:9:2018  12:56:17,295.20,290.04,297.60 x 1200,297.69 x 2200,"4,356,791"
17:9:2018  12:56:33,295.20,290.04,297.61 x 1200,297.69 x 2200,"4,367,845"
17:9:2018  12:56:48,295.200,290.040,297.610 x 1200,297.790 x 2200,"4,372,886"
17:9:2018  12:57:3,295.200,290.040,297.6100 x 1200,297.7900 x 2200,"4,386,269"
17:9:2018  12:57:19,295.200,290.040,297.760 x 1200,297.790 x 2200,"4,389,855"
17:9:2018  12:57:34,295.2000,290.0400,297.7600 x 1200,298.1000 x 2200,"4,397,343"
17:9:2018  12:57:49,295.20,290.04,297.76 x 1200,298.10 x 2200,"4,402,286"
17:9:2018  12:58:5,295.20,290.04,298.05 x 1200,298.10 x 2200,"4,411,294"
17:9:2018  12:58:20,295.20,290.04,298.05 x 1200,298.10 x 2200,"4,416,903"
17:9:2018  12:58:36,295.20,290.04,298.05 x 1200,298.10 x 2200,"4,424,146"
17:9:2018  12:58:50,295.200,290.040,298.110 x 1200,298.180 x 2200,"4,426,620"
17:9:2018  12:59:6,295.20,290.04,298.11 x 1200,298.18 x 2200,"4,430,357"
17:9:2018  12:59:21,295.20,290.04,298.11 x 1200,298.23 x 2200,"4,434,743"
17:9:2018  12:59:37,295.20,290.04,298.12 x 1200,298.23 x 2200,"4,437,263"
17:9:2018  12:59:52,295.20,290.04,298.12 x 1200,298.23 x 2200,"4,438,091"
17:9:2018  13:0:8,295.20,290.04,298.12 x 1200,298.17 x 2200,"4,439,132"
17:9:2018  13:0:23,295.2000,290.0400,298.1200 x 1200,298.1700 x 2200,"4,441,893"
17:9:2018  13:0:38,295.200,290.040,298.120 x 1200,298.170 x 2200,"4,446,322"
17:9:2018  13:0:54,295.20,290.04,297.87 x 1200,298.17 x 2200,"4,451,011"
17:9:2018  13:1:10,295.200,290.040,297.900 x 1200,297.850 x 2200,"4,451,598"
17:9:2018  13:1:25,295.20,290.04,297.90 x 1200,297.85 x 2200,"4,452,140"
17:9:2018  13:1:41,295.2000,290.0400,297.9000 x 1200,298.2500 x 2200,"4,456,395"
17:9:2018  13:1:56,295.20,290.04,297.9000 x 1200,298.2500 x 2200,"4,458,277"
17:9:2018  13:2:12,295.20,290.04,298.03 x 1200,298.25 x 2200,"4,460,573"
17:9:2018  13:2:28,295.20,290.04,298.03 x 1200,298.25 x 2200,"4,461,582"
17:9:2018  13:2:43,295.20,290.04,298.41 x 1200,298.39 x 2200,"4,461,582"
17:9:2018  13:2:58,295.2000,290.0400,298.4100 x 1200,298.3900 x 2200,"4,467,264"
17:9:2018  13:3:14,295.20,290.04,298.41 x 1200,298.65 x 2200,"4,469,905"
17:9:2018  13:3:30,295.2000,290.0400,298.5000 x 1200,298.6500 x 2200,"4,470,525"
17:9:2018  13:3:46,295.20,290.04,298.50 x 1200,298.65 x 2200,"4,474,235"
17:9:2018  13:4:2,295.2000,290.0400,298.5000 x 1200,298.6500 x 2200,"4,476,833"
17:9:2018  13:4:17,295.20,290.04,298.50 x 1200,298.65 x 2200,"4,479,222"
17:9:2018  13:4:33,295.20,290.04,298.43 x 1200,298.69 x 2200,"4,487,296"
17:9:2018  13:4:48,295.20,290.04,298.43 x 1200,298.69 x 2200,"4,494,535"
