     date     time,Prev Close,Open,Bid,Ask,Volume
17:9:2018  12:55:40,162.3200,161.9200,160.7800 x 1400,160.7900 x 800,"13,131,685"
17:9:2018  12:55:56,162.32,161.92,160.74 x 1400,160.76 x 800,"13,149,773"
17:9:2018  12:56:11,162.32,161.92,160.74 x 1400,160.76 x 800,"13,183,604"
17:9:2018  12:56:27,162.3200,161.9200,160.74 x 1400,160.76 x 800,"13,188,831"
17:9:2018  12:56:42,162.320,161.920,160.790 x 1400,160.810 x 800,"13,213,312"
17:9:2018  12:56:58,162.320,161.920,160.790 x 1400,160.810 x 800,"13,228,273"
17:9:2018  12:57:13,162.32,161.92,160.79 x 1400,160.81 x 800,"13,242,445"
17:9:2018  12:57:29,162.32,161.92,160.84 x 1400,160.85 x 800,"13,247,738"
17:9:2018  12:57:44,162.32,161.92,160.84 x 1400,160.85 x 800,"13,253,489"
17:9:2018  12:57:59,162.32,161.92,160.8400 x 1400,160.8500 x 800,"13,254,763"
17:9:2018  12:58:14,162.32,161.92,160.8400 x 1400,160.8500 x 800,"13,259,030"
17:9:2018  12:58:30,162.32,161.92,160.84 x 1400,160.85 x 800,"13,263,585"
17:9:2018  12:58:45,162.3200,161.9200,160.8000 x 1400,160.8000 x 800,"13,268,722"
17:9:2018  12:59:0,162.32,161.92,160.80 x 1400,160.80 x 800,"13,275,979"
17:9:2018  12:59:16,162.32,161.92,160.79 x 1400,160.80 x 800,"13,282,268"
17:9:2018  12:59:31,162.32,161.92,160.79 x 1400,160.81 x 800,"13,287,797"
17:9:2018  12:59:47,162.32,161.92,160.79 x 1400,160.81 x 800,"13,296,456"
17:9:2018  13:0:2,162.32,161.92,160.79 x 1400,160.81 x 800,"13,300,722"
17:9:2018  13:0:18,162.32,161.92,160.79 x 1400,160.81 x 800,"13,319,750"
17:9:2018  13:0:33,162.32,161.92,160.81 x 1400,160.83 x 800,"13,336,624"
17:9:2018  13:0:48,162.32,161.92,160.81 x 1400,160.83 x 800,"13,343,932"
17:9:2018  13:1:4,162.32,161.92,160.81 x 1400,160.83 x 800,"13,351,134"
17:9:2018  13:1:19,162.3200,161.9200,160.8100 x 1400,160.8300 x 800,"13,360,890"
17:9:2018  13:1:35,162.32,161.92,160.81 x 1400,160.83 x 800,"13,363,186"
17:9:2018  13:1:51,162.32,161.92,160.81 x 1400,160.83 x 800,"13,371,165"
17:9:2018  13:2:6,162.32,161.92,161.03 x 1400,161.04 x 800,"13,377,746"
17:9:2018  13:2:22,162.32,161.92,161.03 x 1400,161.04 x 800,"13,379,603"
17:9:2018  13:2:38,162.320,161.920,161.03 x 1400,161.04 x 800,"13,384,890"
17:9:2018  13:2:53,162.32,161.92,161.02 x 1400,161.00 x 800,"13,398,633"
17:9:2018  13:3:9,162.3200,161.9200,161.0200 x 1400,161.0000 x 800,"13,405,514"
17:9:2018  13:3:25,162.32,161.92,161.02 x 1400,161.00 x 800,"13,407,780"
17:9:2018  13:3:40,162.320,161.920,161.020 x 1400,161.000 x 800,"13,411,036"
17:9:2018  13:3:56,162.32,161.92,161.03 x 1400,161.05 x 800,"13,414,524"
17:9:2018  13:4:12,162.3200,161.9200,161.03 x 1400,161.05 x 800,"13,418,540"
17:9:2018  13:4:27,162.32,161.92,161.05 x 1400,161.05 x 800,"13,429,312"
17:9:2018  13:4:43,162.3200,161.9200,161.0500 x 1400,161.0900 x 800,"13,441,398"
17:9:2018  13:4:58,162.32,161.92,161.05 x 1400,161.09 x 800,"13,446,812"
17:9:2018  13:5:13,162.32,161.92,161.06 x 1400,161.09 x 800,"13,456,359"
17:9:2018  13:5:29,162.32,161.92,161.06 x 1400,161.14 x 800,"13,467,864"
17:9:2018  13:5:44,162.3200,161.9200,161.0600 x 1400,161.1400 x 800,"13,472,360"
17:9:2018  13:6:0,162.32,161.92,161.06 x 1400,161.14 x 800,"13,478,906"
17:9:2018  13:6:16,162.32,161.92,161.17 x 1400,161.14 x 800,"13,498,174"
17:9:2018  13:6:31,162.32,161.92,161.17 x 1400,161.14 x 800,"13,517,623"
17:9:2018  13:6:46,162.3200,161.9200,161.1700 x 1400,161.1400 x 800,"13,525,888"
17:9:2018  13:7:1,162.3200,161.9200,161.0300 x 1400,161.1400 x 800,"13,538,501"
17:9:2018  13:7:17,162.32,161.92,161.03 x 1400,161.05 x 800,"13,547,000"
17:9:2018  13:7:32,162.32,161.92,161.02 x 1400,161.05 x 800,"13,567,137"
17:9:2018  13:7:47,162.32,161.92,161.02 x 1400,161.05 x 800,"13,574,084"
17:9:2018  13:8:3,162.32,161.92,161.02 x 1400,161.03 x 1200,"13,583,084"
17:9:2018  13:8:19,162.3200,161.9200,161.0200 x 1400,161.0300 x 1200,"13,589,006"
17:9:2018  13:8:35,162.32,161.92,161.03 x 1200,161.03 x 1200,"13,606,025"
17:9:2018  13:8:50,162.32,161.92,161.03 x 1200,161.03 x 1200,"13,607,840"
17:9:2018  13:9:6,162.32,161.92,161.02 x 1200,161.04 x 1200,"13,610,035"
17:9:2018  13:9:21,162.32,161.92,161.0200 x 1200,161.0400 x 1200,"13,612,608"
17:9:2018  13:9:36,162.32,161.92,161.02 x 1200,160.98 x 1200,"13,618,202"
17:9:2018  13:9:52,162.32,161.92,161.02 x 1200,160.98 x 1200,"13,621,771"
17:9:2018  13:10:7,162.32,161.92,160.97 x 1200,160.98 x 1200,"13,623,034"
17:9:2018  13:10:23,162.32,161.92,160.97 x 1200,160.98 x 1200,"13,636,043"
17:9:2018  13:10:38,162.32,161.92,160.970 x 1200,160.880 x 1200,"13,647,167"
17:9:2018  13:10:54,162.32,161.92,160.86 x 1200,160.88 x 1200,"13,655,121"
17:9:2018  13:11:10,162.32,161.92,160.86 x 1200,160.66 x 1200,"13,660,049"
17:9:2018  13:11:26,162.32,161.92,160.86 x 1200,160.66 x 1200,"13,668,875"
17:9:2018  13:11:41,162.320,161.920,160.690 x 1200,160.660 x 1200,"13,678,118"
