     date     time,Prev Close,Open,Bid,Ask,Volume
17:9:2018  13:5:35,276.43,275.40,276.90 x 800,276.99 x 800,"3,025,301"
17:9:2018  13:5:51,276.4300,275.4019,277.0800 x 800,277.1400 x 800,"3,025,301"
17:9:2018  13:6:7,276.43,275.40,277.08 x 800,277.14 x 800,"3,026,437"
17:9:2018  13:6:22,276.43,275.40,277.08 x 800,277.14 x 800,"3,027,457"
17:9:2018  13:6:37,276.43,275.40,276.89 x 800,276.98 x 800,"3,027,909"
17:9:2018  13:6:53,276.43,275.40,276.89 x 800,276.98 x 800,"3,029,841"
17:9:2018  13:7:8,276.4300,275.4019,276.8900 x 800,276.9800 x 800,"3,029,841"
17:9:2018  13:7:23,276.43,275.40,276.8900 x 800,276.9800 x 800,"3,031,435"
17:9:2018  13:7:39,276.43,275.40,276.70 x 800,276.79 x 800,"3,031,435"
17:9:2018  13:7:54,276.43,275.40,276.70 x 800,276.79 x 800,"3,031,951"
17:9:2018  13:8:10,276.4300,275.4019,276.78 x 800,276.79 x 800,"3,031,951"
17:9:2018  13:8:26,276.43,275.40,276.70 x 800,276.79 x 800,"3,033,851"
17:9:2018  13:8:41,276.43,275.40,276.70 x 800,276.79 x 800,"3,034,787"
17:9:2018  13:8:57,276.43,275.40,276.78 x 800,276.79 x 800,"3,037,026"
17:9:2018  13:9:13,276.43,275.40,276.65 x 800,276.89 x 800,"3,037,199"
17:9:2018  13:9:28,276.43,275.40,276.65 x 800,276.63 x 800,"3,039,606"
17:9:2018  13:9:43,276.43,275.40,276.65 x 800,276.63 x 800,"3,041,393"
17:9:2018  13:9:58,276.43,275.40,276.65 x 800,276.63 x 800,"3,042,135"
17:9:2018  13:10:14,276.43,275.40,276.33 x 800,276.45 x 800,"3,042,658"
17:9:2018  13:10:29,276.4300,275.4019,276.33 x 800,276.45 x 800,"3,042,930"
17:9:2018  13:10:45,276.4300,275.4019,276.2500 x 800,276.4500 x 800,"3,044,647"
17:9:2018  13:11:1,276.43,275.40,276.25 x 800,276.22 x 800,"3,045,374"
17:9:2018  13:11:17,276.43,275.40,276.25 x 800,276.22 x 800,"3,045,374"
17:9:2018  13:11:32,276.430,275.402,276.250 x 800,276.220 x 800,"3,046,042"
